1	0	1	2	41	42	81	82	121	122	161	162
2	0	3	4	43	44	83	84	123	124	163	164
3	0	5	6	45	46	85	86	125	126	165	166
4	0	7	8	47	48	87	88	127	128	167	168
5	0	9	10	49	50	89	90	129	130	169	170
6 	0	11	12	51	52	91	92	131	132	171	172
7	0	13	14	53	54	93	94	133	134	173	174
8 	0	15	16	55	56	95	96	135	136	175	176
9 	0 	17	18	57	58	97	98	137	138	177	178
10	0	19	20	59	60	99	100	139	140	179	180
11 	0	21	22	61	62	101	102	141	142	181	182
12	0	23	24	63	64	103	104	143	144	183	184
13	0	25	26	65	66	105	106	145	146	185	186
14	0 	27	28	67	68	107	108	147	148	187	188
15	0	29	30	69	70	109	110	149	150	189	190
16 	0	31	32	71	72	111	112	151	152	191	192
17	0	33	34	73	74	113	114	153	154	193	194
18	0	35	36	75	76	115	116	155	156	195	196
19	0 	37	38	77	78	117	118	157	158	197	198
20	0	39	40	79	80	119	120	159	160	199	200
