1	923	33	346	162
2	120	401	607	131
3	855	267	501	367
4	578	716	937	138
5	474	799	621	218
6	883	637	623	258
7	571	835	850	484
8	820	831	192	449
9	127	714	31	209
10	774	40	634	476
11	611	679	886	677
12	191	282	797	273
13	845	874	941	667
14	13	786	81	567
15	348	178	790	374
16	673	297	208	165
17	416	340	331	483
18	670	912	259	566
19	562	430	642	881
20	568	585	417	153
21	753	867	815	905
22	265	710	514	531
23	333	719	492	475
24	729	756	503	39
25	144	460	632	21
26	184	137	173	481
27	851	74	18	805
28	380	88	672	504
29	875	602	423	213
30	646	614	873	227
31	298	929	310	754
32	204	169	836	787
33	269	202	85	548
34	468	871	79	289
35	387	827	494	876
36	809	125	856	526
37	888	785	464	303
38	773	177	38	352
39	903	560	454	263
40	819	463	284	354
