81	44	180	804	256	124	437
82	349	647	779	201	471	233
83	246	789	421	928	676	63
84	563	830	848	698	287	495
85	684	728	308	17	528	443
86	662	306	390	70	573	533
87	381	407	104	316	431	30
88	631	764	915	42	655	723
89	411	391	638	450	392	96
90	604	891	705	838	235	156
91	9	357	461	712	214	892
92	399	167	807	26	34	572
93	176	636	114	911	379	674
94	763	605	326	271	649	669
95	816	810	482	898	424	198
96	459	825	254	664	737	491
97	155	812	932	680	709	453
98	542	734	358	420	109	384
99	869	275	752	436	570	760
100	327	620	89	362	759	551
101	544	907	442	10	242	762
102	339	935	880	351	142	884
103	771	541	418	182	701	660
104	154	936	335	330	722	264
105	668	916	325	7	414	58
106	266	115	55	64	628	347
107	834	550	793	841	458	652
108	163	290	780	913	136	281
109	195	736	356	6	775	422
110	622	743	479	644	462	510
111	618	650	613	37	434	27
112	78	512	216	925	778	465
113	82	749	777	543	536	312
114	48	629	539	768	861	487
115	239	451	373	229	601	94
116	87	342	28	341	375	671
117	860	730	71	4	334	370
118	65	547	25	413	315	283
119	718	329	751	843	518	545
120	409	890	338	557	792	215
