121	455	402	922	234	724	425	788
122	588	262	84	689	445	285	231
123	398	368	761	530	813	364	713
124	160	696	317	106	302	586	97
125	223	249	537	594	228	748	527
126	72	164	615	291	345	919	132
127	295	627	837	146	583	878	337
128	435	702	211	122	478	711	802
129	50	658	694	41	112	466	899
130	931	758	651	657	580	299	219
131	862	558	525	523	150	707	619
132	741	654	51	427	243	703	188
133	318	22	53	488	553	535	95
134	755	52	272	199	939	538	648
135	143	505	695	926	822	603	77
136	128	735	663	801	20	559	404
137	766	817	119	554	575	509	385
138	313	408	372	360	606	715	691
139	574	506	489	864	110	854	444
140	823	221	556	581	394	863	90
141	292	640	286	885	296	592	328
142	610	32	895	897	513	113	569
143	361	625	16	439	746	80	821
144	457	252	846	210	452	314	129
145	433	250	866	666	100	355	49
146	767	253	493	332	485	47	270
147	46	870	515	520	241	101	369
148	278	732	393	839	366	828	720
149	304	344	626	123	882	549	456
150	212	733	683	309	765	225	280
151	5	721	174	190	906	508	653
152	598	685	656	564	877	378	205
153	448	59	772	108	343	565	617
154	849	300	319	230	389	519	200
155	14	522	376	441	794	19	900
156	635	236	887	83	268	480	829
157	232	166	447	111	224	141	117
158	170	507	909	717	66	943	3
159	630	432	359	639	477	757	172
160	516	29	248	305	69	902	795
